Sally Ride ; Orange, Cherry, price: 4.98, 12:44
Nour El-Sayed; Orange, Orange, Grapes, price: 5.97, 15:20
Olivia Chen; Orange, Orange, price: 2.98, 14:36
Tomasz Kowalski; Apple, price: 1.99, 10:16
Natalie Brooks ; Pear, price: 3.49, 15:52
Amelia Hart; Cherry, Mango, price: 7.78, 13:27
Daniel Svensson ; Mango, Pear, price: 7.78, 15:19
Owen McCarthy; Cherry, Mango, Orange, price: 9.27, 10:50
Mei Ling Zhao ; Orange, Orange, Pear, Pear, price: 9.96, 16:49
Lucia Fernandez; Mango, price: 4.29, 16:23
Daniel Svensson ; Orange, Grapes, price: 4.48, 11:12
Will Toledo; Pear, Cherry, Cherry, Apple, Mango, price: 16.75, 16:52
Saskia van Dijk; Mango, Cherry, Grapes, price: 10.77, 07:14
Diego Morales ; Orange, Cherry, Mango, Apple, Mango, price: 15.55, 14:04
Owen McCarthy; Cherry, Orange, price: 4.98, 15:27
Amelia Hart; Apple, Pear, Apple, Grapes, price: 10.46, 16:38
Tomasz Kowalski; Pear, Pear, Grapes, price: 9.97, 13:29
Keiko Tanaka ; Orange, Mango, Cherry, price: 9.27, 13:54
Malik Johnson; Grapes, Mango, Orange, Orange, Grapes, price: 13.25, 16:46
Tomasz Kowalski; Orange, Apple, Cherry, Orange, Cherry, price: 11.95, 15:39
Aisha Nasser; Orange, Apple, price: 3.48, 13:40
Owen McCarthy; Pear, Apple, price: 5.48, 15:11
Chloe Nguyen; Mango, Grapes, Orange, price: 8.77, 10:14
Yusuf Demir ; Mango, Cherry, Orange, Grapes, price: 12.26, 11:22
Liam Gallagher ; Orange, Mango, price: 5.78, 14:06
Alexander Novak ; Grapes, Cherry, Cherry, Pear, price: 13.46, 16:46
Chloe Nguyen; Cherry, Grapes, Orange, price: 7.97, 17:18
Marcus Albright; Mango, Orange, Mango, price: 10.07, 08:13
Will Toledo; Pear, Apple, Orange, Mango, Apple, price: 13.25, 10:46
Arjun Mehta; Mango, Cherry, price: 7.78, 16:01
Olivia Chen; Pear, Grapes, Grapes, price: 9.47, 14:57
Viktor Ivanov; Grapes, Mango, Cherry, Orange, price: 12.26, 14:17
Liam Gallagher ; Orange, price: 1.49, 15:45
Diego Morales ; Orange, price: 1.49, 13:29
Leila Haddad; Orange, Mango, price: 5.78, 14:47
